Using bands defined by ^{}TMD_250316.m,,,,,,,
name, path, whole-core mean density, whole-core mean HU, volume (cm^3), layers, pixel spacing (mm), 
Palmyra_03_13,/Volumes/tom backup/coralCT/Palmyra_03_13,1.2701,1134.4316,152.3595,2061,0.097656,
Top of Core,,,,,,,
band,Density (g cm^-3),Extension (cm),Calcification (g cm^-2 yr^-1),Polyps per band,,,
1,1.1392,1.1627,1.3245,314,,,
2,1.1432,1.3173,1.5059,308,,,
3,1.1805,1.25,1.4755,279,,,
4,1.2154,1.132,1.3759,260,,,
5,1.269,1.3121,1.6651,244,,,
6,1.3154,1.2179,1.6021,215,,,
7,1.2722,1.2044,1.5323,237,,,
8,1.1677,1.286,1.5017,279,,,
9,1.1821,1.2863,1.5206,236,,,
10,1.2428,1.1735,1.4585,248,,,
11,1.2599,1.3812,1.7402,252,,,
12,1.2331,1.3223,1.6305,310,,,
13,1.2226,1.2563,1.5359,322,,,
14,1.281,1.3057,1.6727,322,,,
Bottom of Core,,,,,,,
 ,,,,,,,
 ,,,,,,,
