Using bands defined by ^{}movie_example.m
name, path, whole-core mean HU, whole-core mean density, volume (cm^3), layers, pixel spacing (mm), 
Taiwan 896,/Users/favia/Documents/CT scans/Taiwan/Taiwan 896,1.0907,851.3138,203.837,1418,0.097656
Top of Core
band,Density (g cm^-3),Extension (cm),Calcification (g cm^-2 yr^-1),Polyps per band
1,1.0505,1.1851,1.245,234
2,1.0139,1.2296,1.2466,282
3,0.99412,1.0612,1.055,318
4,0.97263,1.2755,1.2406,297
5,0.94928,1.248,1.1847,277
6,0.92692,1.2878,1.1937,254
7,0.98392,1.4142,1.3914,185
8,0.9716,1.5841,1.5391,218
9,0.98345,1.3665,1.3439,214
10,1.0225,1.3229,1.3527,205
11,1.0402,1.3549,1.4094,170
12,1.1145,1.3439,1.4978,110
13,1.1083,1.3062,1.4476,158
14,1.1372,1.1995,1.3641,194
15,1.1683,0.88597,1.0351,204
16,1.1743,0.98484,1.1565,235
17,1.1189,1.1966,1.3388,204
18,1.117,0.97309,1.087,240
19,1.1271,1.0997,1.2395,132
Bottom of Core
 
 
